loss,accuracy,wass
0.5933742225170135,82.25324027916251,0.05282599639027743
0.6173941269516945,85.8,0.05894648137350797
0.6158483922481537,86.4,0.058500120930565426
0.7459743916988373,86.81318681318682,0.06322235326941775
0.42765089869499207,90.5,0.05437869015166644
0.5874065384268761,86.2,0.05544972973192461
0.6517486199736595,84.8,0.05871427535612735
0.5052772834897041,86.6,0.057205550138662464
0.5938786491751671,86.6,0.05977736047149345
0.6092802099883556,87.3,0.06043998862000956
0.6515963152050972,83.3,0.0595755887690771
0.5847503766417503,85.3,0.06019273794278859
0.99871826171875,75.1,0.07004368234831677
0.5389315262436867,86.8,0.05921240471928182
0.8487894758582115,80.0,0.07110098836978081
0.47040631622076035,88.9,0.05310489561916136
0.4956764951348305,90.2,0.051433350367956904
0.623410664498806,86.0,0.06098883463373183
0.405608095228672,89.2,0.04968671445347812
0.520516961812973,86.7,0.057364095515176836
0.6136222705245018,85.5,0.06214879842100468
0.5237099751830101,90.1,0.053824161886738
0.4233120158314705,88.9,0.052320387950088657
0.5301751047372818,87.6,0.05529229430408923
0.8344443887472153,80.0,0.06955302786627668
0.6512438580393791,85.9,0.06410932627330164
0.4991055577993393,88.1,0.05206564683675263
0.7330832481384277,82.0,0.05983442398097917
0.5515543669462204,83.2,0.05530147437437143
0.4778181165456772,87.3,0.05444989129645121
0.5894570127129555,85.8,0.06078514178672894
0.5732711553573608,86.42714570858283,0.05983307194812331
0.7859889566898346,83.2,0.06297960039219548
0.6957169622182846,86.2,0.0628053343442549
0.4298657476902008,89.2,0.05189445839184628
0.6707190349698067,84.5,0.06098459755383629
0.5746359154582024,86.7,0.061228373295953306
0.5518054217100143,87.9,0.05349296660807764
0.5934754833579063,83.9,0.05707208131680232
0.5098574534058571,87.4,0.050842404940198836
0.6592562794685364,84.6,0.060595043294410476
0.7037359774112701,86.0,0.06614791286420471
0.9326575845479965,79.1,0.061429724806533005
0.585593119263649,84.8,0.05722259073200011
0.6601304113864899,85.9,0.058561093004167245
0.4706043601036072,87.4,0.05520246337281599
0.5088981464505196,86.7,0.05491448736318276
0.5195576474070549,88.8,0.055157820133490396
0.6833332739770412,84.0,0.057247227977838225
0.8161551430821419,85.12974051896208,0.0644499388458721
0.47247304022312164,88.4,0.050323417744617495
0.6291563287377357,85.7,0.06113378442196391
0.4863501936197281,90.0,0.05207889566166924
0.6911550164222717,87.1,0.06011254930312069
0.6333311200141907,86.3,0.0572956295011704
0.5819644257426262,83.3,0.055707356622521895
0.6373070478439331,86.01398601398601,0.058829980461231474
0.42146870493888855,89.72055888223552,0.0514797900267158
0.5348158553242683,89.0,0.057892017729364455
0.8599170744419098,84.0,0.06841860737809854
0.44130853563547134,89.0,0.053076601314832494
0.5415918976068497,89.1,0.05809738086720374
0.5434843376278877,89.7,0.055776289822939
0.5693801492452621,84.9,0.05161338328647206
0.8700381889939308,80.1,0.0638491960416788
0.49510015547275543,88.7,0.05229158441406416
0.74925272539258,81.8,0.06604171954079387
0.4493768960237503,85.6,0.05244180317654736
0.4209805503487587,92.7,0.04908045248547924
0.7444746866822243,84.2,0.06474074388043435
0.8031147345900536,84.5,0.06669407635247428
0.6410777047276497,85.4,0.06321537072239176
0.6743663251399994,80.8,0.05814694077478979
0.5268568843603134,87.1,0.057712720151422585
0.5714513286948204,84.4,0.05146475051376838
0.6248218193650246,84.5,0.0628542993921652
0.45827751606702805,90.2,0.051380985501231005
0.5197391211986542,86.41358641358642,0.05891986389907155
0.5357959978282452,89.9,0.05459297795724475
0.44214027002453804,89.5,0.052854810062408095
0.710664726793766,83.0,0.060055823771173675
0.6183367446064949,80.9,0.05434560729247744
0.6191360354423523,87.3,0.055872076500282745
0.48209138214588165,86.8,0.050145752190609905
0.49745381623506546,89.5,0.055968243099236946
0.604448065161705,86.6,0.05759526394813449
0.4972088783979416,87.8,0.05214726656784895
0.5879023894667625,86.7,0.05858440899008671
0.630075678229332,85.3,0.060974789292155905
0.891323909163475,66.9,0.059428701872271374
0.5451618954539299,83.7,0.057025640617135755
0.49946166574954987,88.8,0.054590636406543214
0.4777795486152172,88.1,0.05369015194733873
0.6014549806714058,84.53093812375249,0.05666002900652141
0.5799660533666611,85.2,0.05460473993951504
0.47000522911548615,87.0,0.05190668615413892
0.6066619902849197,86.3,0.06138356582203139
0.390611931681633,91.0,0.05183683266582208
0.476105198264122,85.3,0.058509405095697006
0.8001720011234283,74.2,0.06561784172026233
0.5538127273321152,83.0,0.05384862609980223
0.5113503485918045,85.9,0.051935681737324935
0.4351186454296112,89.5,0.04941900967635454
0.8834252879023552,78.4,0.0661632398970814
0.7035379782319069,81.9,0.06214515061292332
0.46682095527648926,89.7,0.052425863601555475
0.5404291152954102,87.2,0.053911361020382166
0.5810001790523529,85.3,0.059158309076522225
0.6395408362150192,83.5,0.06077708986456682
0.6307602003216743,82.5,0.06445784056440622
0.5194217711687088,90.0,0.05653728820991326
0.5254659168422222,86.5,0.05725196616286648
0.5292255282402039,88.4,0.05915184249572324
0.577591173350811,83.7,0.05475330708292354
0.7310080602765083,84.7,0.06050300744297438
0.431095726788044,91.2,0.053389087661321305
0.4906321242451668,88.62275449101796,0.05349408248473073
0.6281450465321541,83.7,0.061004839129413437
0.8188388496637344,77.1,0.0620959571753486
0.7183318957686424,83.4,0.061623887852775845
0.46845606714487076,90.6,0.04895982666190618
0.5044013150036335,85.0,0.05334900111875872
0.6334123760461807,87.6,0.05939441553217762
0.6648824587464333,82.71728271728271,0.058465181441797194
0.7935416847467422,83.6,0.06490341795034218
0.421453058719635,90.6,0.05214789501112913
0.615842767059803,87.9,0.060413156571698504
0.6383418291807175,86.0,0.061060894811597585
0.5407986342906952,89.9,0.05698851783894313
0.4645318388938904,89.5104895104895,0.05574580397760461
0.46282651647925377,89.91008991008991,0.05257839739745427
0.40413663908839226,90.5,0.05036322565685459
0.5918802097439766,86.0,0.057830744609613086
0.5244405642151833,86.0,0.055082301472819326
0.6949592381715775,82.7,0.06648006667996262
0.5537482798099518,84.6,0.0548176181404759
0.5135320723056793,86.31368631368632,0.0558551176893499
0.5030841454863548,85.61438561438561,0.050565936712607465
0.39862602949142456,90.1,0.05149238041669233
0.5978537127375603,86.3,0.06117064944671241
0.645233117043972,83.7,0.06458226386483866
0.4640825055539608,87.2,0.059785387534224584
0.5980863347649574,86.3,0.0599613641885986
0.39546938985586166,91.6,0.051941103510696085
0.5307679269462824,85.3,0.05617654491843173
0.5181991681456566,88.6,0.05363487208121561
0.4909115359187126,89.2,0.05801325216118042
0.45141860842704773,90.6,0.0520185647361706
0.7413631677627563,86.0,0.06400631038962123
0.7425576597452164,83.53293413173652,0.06225825160361091
0.5091106994077563,84.1,0.05049832056487841
0.3590354695916176,90.2,0.04973522580811396
0.7176933735609055,78.5,0.05894862579004141
0.4874172881245613,91.4,0.054552000376590845
0.5151795968413353,89.1,0.05385820492936964
0.5864628553390503,86.5,0.054628672117913044
0.8437003642320633,83.2,0.06833275860799191
0.6534217670559883,85.5,0.06307873760369917
0.4216673821210861,90.9,0.05143060635713267
0.6924922689795494,80.6,0.06178319129491691
0.7802074551582336,81.6,0.06326844191023671
0.40810665115714073,88.8,0.04830411723476107
0.5341008305549622,87.0,0.0557848114292978
0.7090554088354111,84.2,0.05960804235869915
0.674685150384903,85.4,0.05745993166419677
0.4849427193403244,88.4,0.053038523359166166
0.39911581948399544,90.5,0.053090819575741736
0.6716004312038422,82.5,0.056734837358440406
0.6209415942430496,84.8,0.05540221166398175
0.7228608578443527,84.6,0.06204056210818253
0.5155181773006916,89.3,0.05810095011228286
0.6297687664628029,83.6,0.06176614032870374
0.42676255851984024,91.31736526946108,0.05027420799700876
0.561482660472393,87.8,0.05476796608333334
0.5191022604703903,85.5,0.05559976572904641
0.508378691971302,86.6,0.05604749234994918
0.2761452943086624,94.3,0.04452807125379749
0.5379720330238342,88.4,0.056475480522624286
0.5482616499066353,85.6,0.05603151984893027
0.5341376215219498,85.91408591408592,0.052573913296283505
0.4215562418103218,89.6,0.05099829033849833
0.543060801923275,88.42315369261478,0.055570833739021455
0.6228633224964142,85.1,0.06127997366590592
1.020495131611824,78.8,0.0708329764513317
0.55173010379076,89.2,0.054633990696474906
0.5165570303797722,89.2,0.05383787282003391
0.5835885182023048,83.9,0.061321822577261945
0.7179462164640427,81.9,0.06368727587144683
0.5300929024815559,84.9601593625498,0.05424879738252019
0.6983587965369225,83.9,0.06472942855342334
0.583182729780674,89.2,0.05852739891191523
0.6913606822490692,83.4,0.05951603009837059
0.5562316402792931,84.5,0.051104646368518844
0.5676683709025383,82.5,0.05536370760011634
0.58100875467062,85.1,0.0590547476520884
0.6238487437367439,86.1,0.05910874084283722
0.7184000313282013,80.5,0.061155322396250066
0.4484563171863556,89.3,0.05179038588211852
0.676999818533659,84.44666001994018,0.062112963399505935
0.8246010541915894,77.5,0.06843773801677806
0.4667486995458603,87.9,0.053846923550408196
0.5057229548692703,87.5,0.05988553651502476
0.5047928765416145,87.9,0.05676427859531
0.9156981259584427,77.6,0.07268145469706581
0.5953234285116196,87.7,0.05791348815503515
0.5014735460281372,89.1,0.05212630683435102
0.5260287374258041,85.0,0.06136419461405921
0.786720909178257,80.2,0.06243644155593579
0.8516278266906738,82.0,0.0638654692875235
0.4901854246854782,87.3,0.04959393194796513
0.4403301775455475,89.6,0.0490610241555116
0.683537520468235,80.5,0.05953996405746972
0.648580402135849,85.3,0.059109561199715555
0.4569172114133835,90.6,0.050162219118733024
0.5902053378522396,84.2,0.0562057650857241
0.4556741490960121,91.6,0.051220792241104894
0.42523716390132904,89.4,0.05262971868087674
0.44869571179151535,89.6,0.056413488447439104
0.636906772851944,85.5,0.059709538063862075
0.4754059240221977,91.0,0.04957289191543699
0.3801465556025505,90.8,0.04908168050723481
0.5398016422986984,83.9,0.0558293334130691
0.6100000739097595,87.1,0.06132439467394144
0.5315692275762558,89.5,0.05283033753072142
0.6927630975842476,88.81118881118881,0.06139215544217642
0.5923870801925659,86.1,0.06125544442000331
0.8651300743222237,80.5,0.0688288253855424
0.5399228036403656,85.9,0.060017639132853004
0.5188828036189079,88.1,0.05488065786843832
0.7410818487405777,86.0,0.05999600969178712
0.5890326127409935,88.9,0.05323819523355037
0.5986596643924713,83.2,0.0537556511638111
0.9498046934604645,79.2,0.06930144109463121
0.7321680709719658,82.41758241758242,0.062002378903856084
0.6040091551840305,81.5,0.05551599500407362
0.7131117433309555,85.7,0.06342587097937168
0.6394300758838654,85.0,0.06452783200799257
0.5252720564603806,88.12375249500998,0.05614552916186664
0.5984431579709053,83.8,0.05915258939198691
0.6268922835588455,85.81418581418582,0.0567218002866554
0.5501307398080826,85.5,0.06159850276354946
0.5520830154418945,88.6,0.05759665552010654
0.6202230080962181,83.4,0.0659845780797709
0.4352397844195366,89.8,0.05116472269345168
0.7693614214658737,80.4,0.06268096291999767
0.6258733049035072,85.8,0.06358847929908852
0.5839446783065796,87.5,0.053822972861251456
0.37626687809824944,90.9,0.05205674613169037
0.49077287316322327,85.5,0.05643787711636328
0.7785956561565399,80.1,0.05988768244723469
0.45838670432567596,89.1,0.05353151455028084
0.43038786947727203,89.8,0.05524521945886222
0.6579644829034805,84.0,0.06202918631123091
0.7447356134653091,84.6,0.059028283159356536
0.6163971312344074,85.2,0.0653544071188721
0.3879360109567642,90.7,0.050049923402463906
0.6683412194252014,85.3,0.06722717457518328
0.549492247402668,87.7,0.05591677227248971
0.40464619919657707,91.7,0.05133017248707339
0.5774335488677025,85.9,0.05903070784297438
0.4547831118106842,89.9,0.05093318980794177
0.5055762082338333,86.41358641358642,0.055329438833629556
0.6433890014886856,86.6,0.05744019733385361
0.5958648771047592,82.01798201798202,0.05850467729122452
0.5260980725288391,87.9,0.05298575663571607
0.5646552816033363,86.7,0.058581395919374016
0.7668312266469002,84.0,0.06830439454978975
0.418901726603508,89.4,0.057045314823706825
0.4100554957985878,91.7,0.04574512431325384
0.6846745610237122,83.5,0.06532587592283928
0.520396251231432,88.0,0.05781653945586836
0.655294131487608,85.2,0.06294751330742558
0.674395963549614,81.0,0.06650739640402668
0.7095237448811531,85.1,0.06515003335441781
0.5136319920420647,86.4,0.054437421191882045
0.6286183744668961,78.7,0.05664131330088802
0.4867485910654068,92.5,0.04976620850102663
0.8163408860564232,81.3,0.07197499867069382
0.4804403558373451,86.3,0.05721844439676485
0.4609990790486336,89.9,0.057070470710785054
0.41550038754940033,90.5,0.049042849780427306
0.5265592262148857,88.5,0.05564867637507307
0.4926062971353531,91.3,0.05152095424730007
0.8084310740232468,81.6,0.0614046545933259
0.6785300001502037,85.0,0.061583556328788355
0.609435461461544,86.1,0.0630732619514046
0.6124144643545151,82.7,0.0604516504422733
0.626623123884201,84.9,0.060354112223984104
0.6311148256063461,86.3,0.05521362072262259
0.4589991122484207,90.21956087824351,0.05286791111853134
0.709888868033886,86.1,0.06365303452011457
0.5802415683865547,87.1,0.06030349289233024
0.671197384595871,86.8,0.06210962591454024
0.6068769246339798,85.6,0.05907114367570758
0.4343382567167282,88.8,0.05042339177481166
0.40465422347187996,87.6,0.050735765116959514
0.4727778211236,89.0,0.05217169820312771
0.4863267205655575,90.6,0.052759843039304255
0.5194922126829624,83.8,0.05279253742798216
0.5204608477652073,87.4,0.05663627349884949
0.4313974678516388,90.6,0.050609443757997
0.6585457548499107,85.0,0.05903516076877989
0.4881817698478699,88.9,0.05715099102142669
0.5943923778831959,89.3,0.057801377381411057
0.5997066125273705,87.3,0.05489578552970704
0.45501329004764557,89.9,0.05009968524499023
0.49669528007507324,88.5,0.05697377492151527
0.8966157585382462,82.0,0.06815966357360595
0.541915625333786,86.6,0.05765014123195491
0.4624470919370651,89.9,0.053680269013162085
0.7024142220616341,82.5,0.057905806007324354
0.49142029881477356,86.9,0.05400565705642086
0.4143449291586876,90.0,0.05575144113595972
0.4582635462284088,91.0,0.05557361854186864
0.2835222855210304,93.1,0.04422301285813932
0.5797687619924545,85.4,0.05740634223339584
0.5965693965554237,85.5,0.05997315964226096
0.5479077249765396,88.7,0.0541567671618973
0.570522628724575,86.0,0.06055748016298854
0.5653542950749397,87.1,0.05876560846581783
0.8514130562543869,81.0379241516966,0.07054249536479953
0.7040272578597069,81.6,0.06462497580027227
0.481945663690567,85.9,0.0562498336215265
0.5681502968072891,88.3,0.05832569167574025
0.9175510257482529,78.3,0.0684400323663021
0.40581169724464417,90.1,0.04575756511865993
0.5505990609526634,84.8,0.05742713879220937
0.6728306263685226,83.5,0.06293237876637646
0.6214834526181221,84.2,0.05680133920536181
0.438665471971035,91.7,0.0486263999893053
0.5084656476974487,84.6,0.05800643997584808
0.6627698466181755,86.41358641358642,0.05929219331584515
0.47277385741472244,88.3,0.05275653255197914
0.5394249260425568,85.4,0.05608623239956256
0.4577322378754616,90.3,0.05690722632594724
0.47712306678295135,89.8,0.057394113955475466
0.5638762712478638,86.93918245264207,0.058020262873919
0.41072123497724533,88.8,0.05129604073690242
0.6609307676553726,83.9,0.06134542702200644
0.7197861224412918,82.6,0.05817346358895528
0.5291292257606983,85.24426719840478,0.051593480548467505
0.6972091943025589,82.6,0.0678214595413761
0.43472468852996826,88.31168831168831,0.0500088206657253
0.5834508910775185,87.0,0.05955700911446058
0.4926445484161377,89.9,0.05069519726861494
0.5309355929493904,87.2,0.053028147137678346
0.4289906248450279,87.8,0.0584062820730322
0.5729856416583061,86.3,0.05724870987412575
0.6168134436011314,86.8,0.05744376397332263
0.7079098150134087,85.0,0.05910375601660042
0.9838668778538704,80.1,0.07005738417248876
0.5520194172859192,87.2,0.0588546229176064
0.854226715862751,81.8,0.0683028387303887
0.5443753898143768,88.2,0.05305668111423167
0.5468546599149704,87.4,0.05584729677678588
0.6854279935359955,81.5,0.05980553975984379
1.0771721825003624,81.1,0.07165520235260789
0.5017301440238953,88.9,0.058372089444210504
0.6026444360613823,80.3,0.05657607204624003
0.6049974113702774,83.7,0.05660438802727445
0.6306797936558723,85.6,0.05939528747863532
0.7316377349197865,84.6,0.06151709256223522
0.5782055407762527,87.3,0.05739476420675113
0.6909841671586037,84.7,0.06106691609540177
0.6930393949151039,84.93013972055888,0.06344646816287708
0.6173628121614456,85.3,0.06287620795971559
0.5895334184169769,87.0,0.05731631268078946
0.5055597200989723,88.7,0.056463800829896604
0.538521908223629,87.3,0.057926448628428905
0.744264580309391,81.9,0.06502609465250937
0.7482518553733826,83.6,0.06721227707574143
0.7615027278661728,79.8,0.058085491245602576
0.38036127388477325,92.8,0.04667725685669802
0.6033445969223976,87.1,0.06045095250659193
0.6068631112575531,88.7,0.05934915520397412
0.7006240487098694,81.0,0.06098911382248187
0.5978454798460007,88.6,0.058222712347132194
0.3770482614636421,90.8,0.0532706841642707
0.509260505437851,86.6,0.055127399144674974
0.5785400234162807,88.0,0.057640029924108604
0.7236262634396553,83.0,0.06191511890471149
0.5762032121419907,85.5,0.05399543454449612
0.6521229445934296,82.0,0.05785880061855445
0.4218836724758148,91.8,0.051786496806117
0.6500136256217957,86.32734530938124,0.06320657957240369
0.6606316119432449,87.31268731268732,0.06021922080352125
0.4114283174276352,90.6,0.050345931387318514
0.47005823999643326,86.2,0.049308672303714565
0.4313522279262543,90.8,0.053473340504800175
0.6191033571958542,87.1,0.054308466032016764
0.5429971888661385,86.6,0.05884810603683604
0.48745835199952126,89.4,0.051892586149688585
0.4123775362968445,90.7,0.04843415159709331
0.5158267468214035,82.2,0.05481587221042011
0.6636736243963242,82.4,0.05903612234180211
0.38385848701000214,91.0,0.04201697857804994
0.6433767080307007,84.5,0.06424612581531028
0.5742567777633667,83.11688311688312,0.05477385399599485
0.48434291779994965,90.1,0.050999238003604765
0.6689772754907608,83.0,0.06295386482346105
0.6226236969232559,84.1,0.05927088526466459
0.8667379766702652,76.4,0.0673176489353625
0.8115978240966797,79.2,0.06682204361587622
0.44589046761393547,88.0,0.05083954427892992
0.5761849209666252,87.1,0.059242609367551866
0.638035349547863,85.1,0.05840052997210573
0.5292444154620171,88.1,0.05800352757821254
0.5240934565663338,86.6,0.055858373037691915
0.5839300528168678,88.5,0.06005477269163109
0.38473981991410255,89.7,0.049099092842007704
0.6622386500239372,86.4,0.05640529765676767
0.368143729865551,92.60739260739261,0.05223570104716245
0.8322542905807495,80.6,0.06769009725910635
0.5694245100021362,83.9,0.053958616388720314
0.5326049625873566,88.0,0.061713388882287334
0.5073496773838997,88.0,0.057716585378092884
0.6289516389369965,85.0,0.05520370090579035
0.7101970613002777,86.4,0.06296635997759632
0.6197719797492027,85.5,0.05648163405497725
0.6168167665600777,83.9,0.056087732680014366
0.48855355381965637,87.3,0.05444815880109344
0.6102252751588821,86.8,0.055151831847210564
0.4449058286845684,89.52095808383234,0.054674370789987096
0.3847472742199898,90.7,0.04848230226265825
0.761533722281456,83.8,0.06846572755109864
0.6867571324110031,82.4,0.05973964789187398
0.6575498804450035,84.71528471528471,0.057773469841524774
0.4470312148332596,88.8,0.052644548593161776
0.7078169658780098,80.3,0.06157139069715757
0.7364095598459244,81.2,0.059622658964436415
0.7340628653764725,81.0,0.0655579767615049
0.5271421484649181,88.7,0.04999657908525691
0.5887668952345848,84.5,0.0507252904284775
0.39951441437005997,89.7,0.051353134661289386
0.4913671314716339,86.6,0.05323711465205205
0.4919128194451332,90.6,0.05455858889419714
0.6064884513616562,84.8,0.061633528675644256
0.5767851807177067,88.1,0.05851785738008668
0.4318859353661537,92.1,0.051838068716816954
0.483933262526989,90.4,0.05810408833864956
0.4176080599427223,88.6,0.051906968131532304
0.3876739367842674,89.6,0.05123953373724929
0.7458616644144058,85.2,0.06507637130835352
0.5615679696202278,85.2,0.054087404547014
0.5062861293554306,89.3,0.053325627466932105
0.5576739311218262,84.1,0.05638361487995982
0.5903826430439949,85.7,0.06002345714995028
0.43134526163339615,88.5,0.05107461799985127
0.6026396006345749,87.4,0.055363659118021116
0.5217011272907257,83.8,0.05548217593073627
0.5677801296114922,81.9,0.05663005164972614
0.6450229659676552,86.2,0.056560777473771084
0.46454545110464096,89.4,0.058832613873393384
0.5224775522947311,87.1,0.05582409071341574
0.6313809677958488,85.6,0.059715593705964506
0.44182631373405457,85.7,0.05219048648025582
0.5787902548909187,87.4,0.05969754513473865
0.6265449598431587,82.2,0.05628817514094673
0.8162362426519394,82.6,0.07052090927721848
0.5401181876659393,86.7,0.056391189912206346
0.5721442401409149,86.1,0.05875831028672948
0.8620874509215355,84.0,0.06949959977937951
0.5671165660023689,87.3,0.057021278709598305
0.7496020197868347,83.2,0.06543651846924767
0.7651307433843613,83.6,0.06036199755475855
0.3803250156342983,91.9080919080919,0.04846178952171726
0.48086509853601456,86.2,0.05154406735517122
0.7987783178687096,82.0,0.06510063143578017
0.4951741322875023,91.3,0.05586049223618304
0.4840715005993843,87.8,0.0526656979889978
0.4113784320652485,91.1,0.05377079347933141
0.5269730091094971,87.6,0.05947490150262681
0.6582639291882515,86.4,0.05942685948824331
0.5442199073731899,89.1,0.056153635107360426
0.589920163154602,86.24127617148554,0.05832890732534693
0.44663887843489647,90.5,0.052774523828531476
0.699839748442173,79.1,0.07099211243010589
0.42876674234867096,91.4,0.05237317819659401
0.493976216763258,89.41058941058941,0.052424396936101486
0.5075660645961761,89.1,0.054657944827342
0.5232335701584816,86.3,0.05969533283522512
0.7761162668466568,84.0,0.0676352627648319
0.6351336389780045,87.1,0.05837262488379422
0.7854909151792526,82.9,0.06431854194434755
0.6938247978687286,80.4,0.06295002820696324
0.45368123799562454,88.3,0.05115358665157961
0.6258168518543243,85.6,0.06342279034876569
0.64852075278759,83.5,0.060316846597688545
0.6024929285049438,88.0,0.05489903410569506
0.6170435473322868,84.0,0.05489354217987516
0.4835813269019127,87.3,0.05222274199379863
0.508388563990593,88.6,0.04961628473649883
0.43673498928546906,89.02195608782435,0.04789742895741912
1.0207393690943718,79.4,0.07471572654000894
0.44329965859651566,88.6,0.05546199268027587
0.4418836906552315,89.7,0.048391845905772175
0.6694594398140907,82.2,0.06328097116437652
0.42941176891326904,91.7,0.05181725907940921
0.4464348740875721,88.1,0.04967081527193727
0.6587018221616745,87.4,0.059575481538364346
0.6627384200692177,82.1,0.05577176429959199
0.9225586280226707,82.5,0.07333178432003308
0.6355362012982368,83.3,0.056700145908015025
0.4836224615573883,84.9,0.05955148527335157
0.5325505994260311,88.5,0.059494337760465144
0.7346905618906021,83.5,0.061377614980543935
0.673184547573328,85.0,0.05834671964879465
0.5525500029325485,88.2,0.06133391087240521
0.5208049826323986,87.3,0.051614002270076016
0.4016261696815491,88.8,0.05091282616596223
0.5262921210378408,86.0,0.049548392103456955
0.43379930406808853,90.7,0.05188039491269624
0.483489565551281,89.72055888223552,0.04739670552609549
0.7423082068562508,87.6,0.06410023913539137
0.4924505203962326,86.7,0.05619667184665444
0.5659616738557816,88.0,0.05266586866117884
0.4365064948797226,90.3,0.05216753647732997
0.3633982762694359,89.6,0.05186920248922951
0.5372039005160332,86.3,0.05020089145400379
0.5259910076856613,85.6,0.060534320231915975
0.6182001307606697,81.9,0.054813489965846646
0.5255050361156464,89.1,0.054073001315337176
0.5480280891060829,83.9,0.059134055868060004
0.6442204639315605,81.8,0.058975292278093845
0.5343131422996521,86.21378621378621,0.05794643194647029
0.48638061434030533,86.9,0.0467041694268658
0.5807018950581551,88.3,0.05612518012142488
0.5135890729725361,86.8,0.05591220670294901
0.7310638353228569,84.4,0.06508456280232298
0.6264272332191467,85.4,0.05765334193889161
0.5527346506714821,87.9,0.057558312176313055
0.42854636162519455,89.9,0.052687293364863046
0.9886458143591881,76.0,0.06809178116178916
0.6062044128775597,82.7,0.06048063914032961
0.5555468760430813,86.0,0.058214197257178066
0.4997496157884598,88.8,0.054164049992684794
0.5748040825128555,87.1,0.059065064846254234
0.46568265557289124,88.71128871128872,0.05571004202921667
0.444612342864275,89.0,0.055637799242626566
0.8852359056472778,81.9,0.07227618684012363
0.8636736273765564,77.8,0.0673586978159834
0.6285839155316353,83.4,0.061843224212752124
0.7494157254695892,87.1,0.061596704404491824
0.5834765881299973,89.42115768463074,0.0560771590818571
0.5731169730424881,85.1,0.056021933419574885
0.5591090470552444,89.0,0.053069450191945415
0.6148641332983971,86.6,0.05741203737976462
0.7820924744009972,80.5,0.06560550481923788
0.7255957201123238,84.0,0.06059908158671381
0.5342614948749542,86.2,0.057236556895749885
0.5114763230085373,87.22554890219561,0.055269143529105405
0.4716638773679733,88.4,0.05073333511020945
0.535360299050808,90.2,0.05279969839714386
0.6294406726956367,84.5,0.05520181687169677
0.652058407664299,87.0,0.05749611594765271
0.6305888220667839,84.1,0.061598820688856956
0.5332965552806854,87.5,0.05890352292040859
0.8247456774115562,83.0,0.06861367084951331
0.48367317020893097,89.5,0.055109031708325346
0.6497674658894539,82.95114656031905,0.0581584105916376
0.38201024010777473,88.8,0.050364528677049485
0.6058945879340172,86.5,0.06505243951809696
0.6761286295950413,85.8,0.06076815926860568
0.4249720647931099,90.7,0.054007926431188
0.5076364651322365,87.9,0.0545020477154803
1.0710619240999222,78.7,0.07408987407730092
0.7190293148159981,86.3,0.06186988850135312
0.47625988721847534,90.1,0.05417551700378889
0.3544445261359215,91.8,0.04733445445343717
0.5219867900013924,87.3,0.05728964402687614
0.5956458449363708,88.6,0.058390702414836355
0.6684821769595146,87.0,0.058704200441547484
0.5731324404478073,86.5,0.05754574395437637
0.4447697848081589,89.9,0.05629695529385365
0.6181494370102882,89.3,0.05535556720605714
0.487537644803524,91.6,0.05105250851404558
0.6129194870591164,84.7,0.05838017239984185
0.5543184652924538,88.5,0.05833862032831321
0.5017847418785095,85.6,0.05684666055940863
0.38289519399404526,91.1,0.05235676070714118
0.29731738939881325,93.4,0.04846877197484073
0.5507561564445496,88.0,0.05481991669623175
0.3871772550046444,90.3,0.054352682570588076
0.4892270937561989,86.8,0.05189253327381882
0.7836067080497742,75.3,0.06181230801555408
0.7969025820493698,84.5,0.06361050836996379
0.6850161254405975,82.6,0.05979108725563301
0.8406440541148186,83.1,0.06551404076108859
0.5386587604880333,90.7,0.053980517047987404
0.6492415443062782,84.1,0.06297739673874685
0.5822627544403076,88.6,0.05710370593917456
0.44612741470336914,87.9,0.053728130616959295
0.6761394813656807,80.6,0.06361147093177473
0.5814499817788601,86.9,0.06044561114306923
0.5762452408671379,86.3,0.061975410528360135
0.4898381382226944,88.6,0.05211172210831145
0.5446724072098732,86.6,0.0529775890415019
0.6858150139451027,86.0,0.06368493933421583
0.4840569794178009,87.5,0.05583589009890768
0.67594775557518,85.9,0.05865411879416836
